date,Gemini,copilot,Chatgpt,IBM Watson,Region
2021-12-26,13,0,0,0,US
2022-01-02,14,0,0,0,US
2022-01-09,13,0,0,0,US
2022-01-16,12,0,0,0,US
2022-01-23,12,0,0,0,US
2022-01-30,13,0,0,0,US
2022-02-06,13,0,0,0,US
2022-02-13,13,0,0,0,US
2022-02-20,13,0,0,0,US
2022-02-27,13,0,0,0,US
2022-03-06,12,0,0,0,US
2022-03-13,12,0,0,0,US
2022-03-20,13,0,0,0,US
2022-03-27,13,0,0,0,US
2022-04-03,12,0,0,0,US
2022-04-10,12,0,0,0,US
2022-04-17,13,0,0,0,US
2022-04-24,13,0,0,0,US
2022-05-01,13,0,0,0,US
2022-05-08,14,0,0,0,US
2022-05-15,17,0,0,0,US
2022-05-22,17,0,0,0,US
2022-05-29,16,1,0,0,US
2022-06-05,14,0,0,0,US
2022-06-12,15,0,0,0,US
2022-06-19,14,1,0,0,US
2022-06-26,11,1,0,0,US
2022-07-03,12,0,0,0,US
2022-07-10,12,0,0,0,US
2022-07-17,12,0,0,0,US
2022-07-24,12,0,0,0,US
2022-07-31,11,1,0,0,US
2022-08-07,11,0,0,0,US
2022-08-14,12,1,0,0,US
2022-08-21,11,1,0,0,US
2022-08-28,10,0,0,0,US
2022-09-04,10,0,0,0,US
2022-09-11,10,0,0,0,US
2022-09-18,10,0,0,0,US
2022-09-25,11,0,0,0,US
2022-10-02,11,0,0,0,US
2022-10-09,11,0,0,0,US
2022-10-16,10,0,0,0,US
2022-10-23,10,0,0,0,US
2022-10-30,10,1,0,0,US
2022-11-06,10,0,0,0,US
2022-11-13,11,0,0,0,US
2022-11-20,10,0,0,0,US
2022-11-27,10,1,2,0,US
2022-12-04,12,1,39,0,US
2022-12-11,10,1,50,0,US
2022-12-18,11,1,22,0,US
2022-12-25,11,1,19,0,US
2023-01-01,11,1,29,0,US
2023-01-08,12,1,40,0,US
2023-01-15,11,1,46,0,US
2023-01-22,11,1,64,0,US
2023-01-29,11,1,69,0,US
2023-02-05,11,1,85,0,US
2023-02-12,10,1,79,0,US
2023-02-19,11,1,71,0,US
2023-02-26,11,1,73,0,US
2023-03-05,11,1,71,0,US
2023-03-12,10,2,72,0,US
2023-03-19,10,5,86,0,US
2023-03-26,11,3,93,0,US
2023-04-02,11,2,84,0,US
2023-04-09,10,2,87,0,US
2023-04-16,10,2,94,0,US
2023-04-23,11,2,94,0,US
2023-04-30,11,2,88,0,US
2023-05-07,11,2,79,0,US
2023-05-14,12,2,77,0,US
2023-05-21,16,2,69,0,US
2023-05-28,13,2,60,0,US
2023-06-04,12,2,60,0,US
2023-06-11,13,2,60,0,US
2023-06-18,12,2,52,0,US
2023-06-25,10,1,55,0,US
2023-07-02,10,1,47,0,US
2023-07-09,10,1,56,0,US
2023-07-16,10,2,49,0,US
2023-07-23,10,1,48,0,US
2023-07-30,9,1,45,0,US
2023-08-06,9,1,44,0,US
2023-08-13,9,1,46,0,US
2023-08-20,9,1,54,0,US
2023-08-27,9,1,61,0,US
2023-09-03,9,1,58,0,US
2023-09-10,9,1,69,0,US
2023-09-17,9,2,70,0,US
2023-09-24,9,3,71,0,US
2023-10-01,9,2,69,0,US
2023-10-08,10,2,71,0,US
2023-10-15,9,2,74,0,US
2023-10-22,9,2,74,0,US
2023-10-29,8,2,72,0,US
2023-11-05,9,2,78,0,US
2023-11-12,9,3,77,0,US
2023-11-19,9,2,56,0,US
2023-11-26,10,3,79,0,US
2023-12-03,19,4,85,0,US
2023-12-10,15,3,82,0,US
2023-12-17,11,2,60,0,US
2023-12-24,10,2,40,0,US
2023-12-31,11,3,49,0,US
2024-01-07,10,3,63,0,US
2024-01-14,10,4,66,0,US
2024-01-21,10,4,80,0,US
2024-01-28,10,4,80,0,US
2024-02-04,14,5,83,0,US
2024-02-11,18,9,86,0,US
2024-02-18,26,7,84,0,US
2024-02-25,23,7,87,0,US
2024-03-03,19,7,84,0,US
2024-03-10,16,7,79,0,US
2024-03-17,23,7,80,0,US
2024-03-24,16,7,79,0,US
2024-03-31,16,6,78,0,US
2024-04-07,17,6,89,0,US
2024-04-14,17,6,88,0,US
2024-04-21,16,6,96,0,US
2024-04-28,16,6,87,0,US
2024-05-05,16,6,84,0,US
2024-05-12,20,6,89,0,US
2024-05-19,24,7,89,0,US
2024-05-26,20,6,74,0,US
2024-06-02,22,6,80,0,US
2024-06-09,19,5,68,0,US
2024-06-16,18,6,68,0,US
2024-06-23,18,5,61,0,US
2024-06-30,16,4,54,0,US
2024-07-07,16,5,61,0,US
2024-07-14,15,4,59,0,US
2024-07-21,16,5,62,0,US
2024-07-28,18,5,64,0,US
2024-08-04,17,5,64,0,US
2024-08-11,18,6,74,0,US
2024-08-18,18,6,86,0,US
2024-08-25,18,6,94,0,US
2024-09-01,18,6,100,0,US
2021-12-26,12,0,0,0,GB
2022-01-02,11,0,0,0,GB
2022-01-09,11,0,0,0,GB
2022-01-16,10,0,0,0,GB
2022-01-23,15,0,0,0,GB
2022-01-30,14,0,0,0,GB
2022-02-06,11,0,0,0,GB
2022-02-13,10,0,0,0,GB
2022-02-20,11,0,0,0,GB
2022-02-27,10,0,0,0,GB
2022-03-06,11,0,0,0,GB
2022-03-13,10,0,0,0,GB
2022-03-20,10,0,0,0,GB
2022-03-27,10,0,0,0,GB
2022-04-03,10,0,0,0,GB
2022-04-10,10,0,0,0,GB
2022-04-17,9,0,0,0,GB
2022-04-24,9,0,0,0,GB
2022-05-01,9,0,0,0,GB
2022-05-08,11,0,0,0,GB
2022-05-15,11,0,0,0,GB
2022-05-22,11,0,0,0,GB
2022-05-29,11,0,0,0,GB
2022-06-05,10,0,0,0,GB
2022-06-12,10,0,0,0,GB
2022-06-19,10,1,0,0,GB
2022-06-26,9,0,0,0,GB
2022-07-03,9,0,0,0,GB
2022-07-10,10,0,0,0,GB
2022-07-17,10,0,0,0,GB
2022-07-24,9,0,0,0,GB
2022-07-31,9,0,0,0,GB
2022-08-07,9,0,0,0,GB
2022-08-14,9,0,0,0,GB
2022-08-21,9,0,0,0,GB
2022-08-28,9,0,0,0,GB
2022-09-04,8,0,0,0,GB
2022-09-11,9,0,0,0,GB
2022-09-18,9,0,0,0,GB
2022-09-25,9,0,0,0,GB
2022-10-02,9,0,0,0,GB
2022-10-09,9,0,0,0,GB
2022-10-16,9,0,0,0,GB
2022-10-23,10,0,0,0,GB
2022-10-30,9,0,0,0,GB
2022-11-06,9,0,0,0,GB
2022-11-13,9,0,0,0,GB
2022-11-20,8,0,0,0,GB
2022-11-27,9,0,2,0,GB
2022-12-04,9,1,32,0,GB
2022-12-11,9,1,38,0,GB
2022-12-18,10,0,18,0,GB
2022-12-25,10,0,16,0,GB
2023-01-01,9,1,32,0,GB
2023-01-08,10,1,50,0,GB
2023-01-15,8,1,52,0,GB
2023-01-22,9,1,59,0,GB
2023-01-29,10,1,61,0,GB
2023-02-05,9,1,81,0,GB
2023-02-12,9,1,69,0,GB
2023-02-19,9,1,70,0,GB
2023-02-26,9,1,74,0,GB
2023-03-05,9,1,72,0,GB
2023-03-12,8,3,82,0,GB
2023-03-19,9,5,100,0,GB
2023-03-26,12,3,97,0,GB
2023-04-02,9,2,82,0,GB
2023-04-09,9,2,77,0,GB
2023-04-16,9,2,92,0,GB
2023-04-23,9,2,96,0,GB
2023-04-30,8,1,86,0,GB
2023-05-07,9,2,84,0,GB
2023-05-14,9,1,86,0,GB
2023-05-21,11,2,79,0,GB
2023-05-28,10,1,63,0,GB
2023-06-04,9,1,68,0,GB
2023-06-11,10,1,64,0,GB
2023-06-18,10,1,61,0,GB
2023-06-25,8,1,58,0,GB
2023-07-02,8,1,59,0,GB
2023-07-09,8,1,60,0,GB
2023-07-16,10,1,51,0,GB
2023-07-23,8,1,45,0,GB
2023-07-30,8,1,46,0,GB
2023-08-06,8,1,47,0,GB
2023-08-13,8,1,46,0,GB
2023-08-20,8,1,43,0,GB
2023-08-27,9,1,46,0,GB
2023-09-03,8,1,49,0,GB
2023-09-10,7,1,53,0,GB
